date,temp_max,temp_min,snowfall_sum,precip_sum,windspeed_max,month,avalanche_closure,landslide_closure,aval_label_source,land_label_source
2018-12-31,-1.2975,-9.9475,0.0,0.0,9.693296,12,1,0,calendar,offseason
2019-01-01,-3.6975002,-11.6975,0.84,1.2000002,9.511088,1,0,0,calendar,offseason
2019-01-02,-6.0475,-12.3475,0.0,0.0,5.0911684,1,1,0,calendar,offseason
2019-01-03,-3.3474998,-13.6975,0.7,1.0,9.6932955,1,1,0,calendar,offseason
2019-01-04,-3.6975002,-10.0975,3.64,5.1999993,11.966954,1,1,0,calendar,offseason
2019-01-05,-5.8475,-12.4475,1.5400004,2.2,8.534353,1,1,0,calendar,offseason
2019-01-06,-7.5975,-11.7475,0.0,0.0,6.151683,1,1,0,calendar,offseason
2019-01-07,-4.7975,-11.8475,0.28,0.4,5.8048253,1,0,0,calendar,offseason
2019-01-08,-7.2974997,-11.5475,0.56,0.8,5.4833565,1,1,0,calendar,offseason
2019-01-09,-4.6475,-12.4475,0.21000001,0.3,8.089993,1,1,0,calendar,offseason
2019-01-10,-5.3475,-9.1475,0.63,0.9000001,10.30883,1,1,0,calendar,offseason
2019-01-11,-5.9975,-14.197499,0.14,0.2,13.089354,1,0,0,calendar,offseason
2019-01-12,-7.4475,-14.2975,0.90999997,1.3000001,12.641076,1,0,0,calendar,offseason
2019-01-13,-10.8475,-15.7975,0.0,0.0,3.96,1,1,0,calendar,offseason
2019-01-14,-4.3475,-12.6475,0.0,0.0,4.1046314,1,1,0,calendar,offseason
2019-01-15,-2.1475,-7.4475,1.5400003,2.2,9.339208,1,1,0,calendar,offseason
2019-01-16,-5.0475,-10.6975,0.35,0.5,5.6920996,1,1,0,calendar,offseason
2019-01-17,-6.5975,-12.3475,0.21000001,0.3,3.8773184,1,1,0,calendar,offseason
2019-01-18,-4.3975,-7.9475,0.07,0.1,6.12,1,1,0,calendar,offseason
2019-01-19,-2.2475,-8.1475,0.97999996,1.5,11.298495,1,1,0,calendar,offseason
2019-01-20,-2.1475,-10.1475,2.3100002,3.3,11.91812,1,1,0,calendar,offseason
2019-01-21,-2.2975001,-10.0475,2.5900002,3.7,12.24,1,1,0,calendar,offseason
2019-01-22,-7.7974997,-13.7975,0.63,0.90000004,10.296251,1,1,0,documented,offseason
2019-01-23,-9.9975,-17.8975,0.07,0.2,12.55879,1,1,0,documented,offseason
2019-01-24,-8.0975,-17.0975,0.35,0.5,10.829959,1,1,0,documented,offseason
2019-01-25,-12.0475,-19.047499,0.0,0.0,12.4811535,1,1,0,documented,offseason
2019-01-26,-12.5475,-15.4975,0.0,0.0,7.42159,1,1,0,calendar,offseason
2019-01-27,-13.8975,-16.4975,0.0,0.0,5.6920996,1,1,0,calendar,offseason
2019-01-28,-11.3975,-17.4975,0.0,0.0,4.802999,1,1,0,calendar,offseason
2019-01-29,-3.9475002,-11.3475,0.14,0.1,6.696387,1,1,0,calendar,offseason
2019-01-30,-2.8975,-6.0975,0.42,0.6,8.225035,1,1,0,calendar,offseason
2019-01-31,-5.3975,-9.8975,0.7,1.0,10.483357,1,1,0,calendar,offseason
2019-02-01,-5.8975,-10.0975,0.0,0.0,5.937272,2,1,0,calendar,offseason
2019-02-02,-5.2975,-9.9475,0.0,0.0,7.2805495,2,0,0,calendar,offseason
